feature,cluster,consensus_rank,consensus_score
pm_bar_count,1,17.0,36.78655326339178
pm_tempo_bpm,2,9.0,49.193278125308126
theory_limited_macroharmony,3,27.0,-1.7244771546137603
pm_pitch_range_min_freq,4,21.0,28.193707204560667
pm_pitch_range_min_note,4,31.0,-5.158812637901192
pm_average_pitch_hz,5,20.0,33.30004151826461
pm_pitch_range_max_note,5,22.0,19.903608973303836
pm_pitch_range_max_freq,5,25.0,15.620911830853732
muspy_polyphony,6,2.0,63.863845375721894
pm_interval_range_min,6,6.0,56.9058668379329
pm_interval_range_max,6,14.0,43.35035842421844
muspy_pitch_range,6,19.0,34.04044027675733
theory_conjuction_melody_motion,6,29.0,-3.2285678905639252
theory_general_tonality,6,32.0,-7.750736458751552
pm_average_polyphony,7,5.0,58.94963186886307
pm_max_polyphony,8,16.0,37.74223806318072
pm_groove,9,12.0,48.309341908084065
muspy_n_pitches_used,10,3.0,63.688442483363794
muspy_n_pitch_classes_used,10,8.0,55.65676234113161
muspy_pitch_class_entropy,10,10.0,48.773052806451965
theory_centricity,10,23.0,17.164054709765782
muspy_pitch_entropy,10,26.0,3.699449210786046
pm_length_seconds,11,4.0,62.99792252257241
muspy_empty_measure_rate,12,24.0,17.15686607265065
muspy_empty_beat_rate,12,28.0,-2.6239828585833305
muspy_groove_consistency,13,13.0,47.739372687216985
pm_note_count,14,1.0,76.9046727805572
pm_note_density,14,11.0,48.536610435956206
pm_energy,14,18.0,36.613250095196754
pm_average_velocity,15,7.0,55.894931103910196
muspy_scale_consistency,16,15.0,38.98418233533365
pm_instrument_count,17,30.0,-3.4459945510554952
muspy_drum_in_pattern_rate_duple,18,,
muspy_drum_in_pattern_rate_triple,19,,
muspy_drum_pattern_consistency,20,,
